"cname","p_polity2","mad_gdppc","wdi_litrad","wdi_araland"
"Malawi",6,1116.64025878906,67.3099975585938,38.1841316223145
"Malaysia",7,24842.35546875,94.9711303710938,2.51407694816589
"Maldives",NA,NA,97.8600006103516,13
"Mali",5,1667.29504394531,30.7614097595215,5.25409984588623
"Malta",NA,32028.912109375,94.5031890869141,28.34375
"Mauritania",-2,3457.51489257812,66.9599990844727,0.388085752725601
"Mauritius",10,20138.572265625,92.1500015258789,36.9458122253418
"Mexico",8,16494.078125,95.2478485107422,9.97968101501465
"Monaco",NA,NA,NA,NA
"Mongolia",10,13382.5419921875,99.1832733154297,0.853294730186462
"Moldova (the Republic of)",9,6746.728515625,99.5999984741211,51.3867645263672
"Montenegro",9,19504.158203125,98.8471832275391,0.669144988059998
"Morocco",-4,8451.1357421875,73.7500076293945,15.4581308364868
"Mozambique",5,1132.77087402344,63.4199981689453,7.18482160568237
"Oman",-8,36477.63671875,95.6515274047852,0.251502424478531
"Namibia",6,9043.1201171875,91.5272674560547,0.971711039543152
"Nauru",NA,NA,NA,NA
"Nepal",7,2727.423828125,67.9084320068359,14.7450294494629
"Netherlands (the)",10,47474.109375,NA,30.0296993255615
"Vanuatu",NA,NA,87.5063095092773,1.64068913459778
"New Zealand",10,35336.13671875,NA,2.07360148429871
"Nicaragua",6,4952.47705078125,NA,12.4979228973389
"Niger (the)",5,964.660095214844,35.0499992370605,13.973316192627
"Nigeria",7,5237.662109375,62.0160102844238,38.4290199279785
"Norway",10,84580.1328125,NA,2.19670009613037
"Micronesia (Federated States of)",NA,NA,NA,2.85714292526245
"Marshall Islands",NA,NA,NA,11.1111106872559
"Palau",NA,NA,NA,0.652173936367035
"Pakistan",7,5510.396484375,57.9988594055176,39.6040878295898
"Panama",9,22637.1484375,95.7360763549805,7.61660814285278
"Papua New Guinea",5,NA,NA,0.662456393241882
"Paraguay",9,9338.9482421875,93.2135314941406,11.9154291152954
"Peru",9,12310.0849609375,94.497932434082,2.79705166816711
"Philippines (the)",8,8139.1396484375,96.2781677246094,18.7476940155029
"Poland",10,27455.236328125,99.8000030517578,36.1144676208496
"Portugal",10,27035.599609375,96.1375885009766,10.7265100479126
"Guinea-Bissau",6,1501.41357421875,52.8899993896484,10.6685628890991
"Timor-Leste",8,NA,69.9000015258789,7.49831867218018
"Qatar",-10,153764.171875,93.4639663696289,1.82767629623413
"Romania",9,20126.29296875,98.8444976806641,38.9690551757812
"Russian Federation (the)",4,24668.908203125,99.6999969482422,7.42809820175171
"Rwanda",-3,1929.28515625,73.2155914306641,46.6842308044434
"Saint Kitts and Nevis",NA,NA,NA,19.230770111084
"Saint Lucia",NA,10475.369140625,NA,4.3770489692688
"Saint Vincent and the Grenadines",NA,NA,NA,5.12820529937744
"San Marino",NA,NA,NA,33.0833320617676
"Sao Tome and Principe",NA,3730.20458984375,92.8166427612305,4.16666650772095
"Saudi Arabia",-10,50304.75,97.5850677490234,1.59577286243439
"Senegal",7,2617.12451171875,56.2999992370605,16.6207866668701
"Serbia",8,14124.1181640625,99.4825286865234,29.4877662658691
"Seychelles",NA,29531.060546875,96.1999969482422,0.326086968183518
"Sierra Leone",7,1683.84973144531,43.2063293457031,21.9451370239258
"Singapore",-2,68402.34375,97.4795837402344,0.782122910022736
"Slovakia",10,27075.53515625,NA,28.0574035644531
"Viet Nam",-7,6814.14208984375,95.7538681030273,21.6444549560547
"Slovenia",10,29244.919921875,NA,9.00011920928955
"Somalia",5,NA,NA,1.7534351348877
"South Africa",9,12165.794921875,95.0229721069336,9.89209365844727
"Zimbabwe",4,1611.40515136719,89.6999969482422,10.3399248123169
"Spain",10,31496.51953125,98.5944595336914,23.644962310791
"South Sudan",0,NA,34.5227584838867,3.78950190544128
"Sudan (the)",-4,3379.595703125,60.6971817016602,11.2392072677612
"Suriname",5,NA,94.3832702636719,0.397435903549194
"Eswatini",-9,8068.2119140625,89.2799987792969,10.1744184494019
"Sweden",10,45541.890625,NA,6.2367353439331
"Switzerland",10,61372.73046875,NA,10.091965675354
"Syrian Arab Republic (the)",-9,3349.45971679688,NA,25.3880081176758
"Tajikistan",-3,4440.3818359375,NA,6.08257055282593
"Thailand",-3,16648.623046875,93.7677612304688,32.9033660888672
"Togo",-2,1451.36083984375,66.5370788574219,48.7221908569336
"Tonga",NA,NA,99.4143676757812,27.7777786254883
"Trinidad and Tobago",10,28549.408203125,NA,4.87329435348511
"United Arab Emirates (the)",-8,76397.8203125,95.526481628418,0.702618956565857
"Tunisia",7,11353.88671875,82.6999969482422,16.7031402587891
"Turkey",-4,19270.220703125,96.7422103881836,25.4407958984375
"Turkmenistan",-8,26318.365234375,NA,4.12827444076538
"Tuvalu",NA,NA,NA,NA
"Uganda",-1,2045.42028808594,76.5274963378906,34.4105339050293
"Ukraine",4,9813.36328125,100,56.8243026733398
"North Macedonia",9,13074.2314453125,NA,16.6137981414795
"Egypt",-4,11957.2119140625,73.0899963378906,3.23371338844299
"United Kingdom of Great Britain and Northern Ireland (the)",8,38058.0859375,NA,25.1543769836426
"Tanzania, the United Republic of",3,2874.962890625,81.8000030517578,15.038496017456
"United States of America (the)",7,55334.73828125,NA,17.2438564300537
"Burkina Faso",6,1589.62414550781,39.3458518981934,21.9298248291016
"Uruguay",10,20185.8359375,98.7703475952148,11.9317789077759
"Uzbekistan",-9,11220.3701171875,99.9999465942383,9.15549659729004
"Venezuela (Bolivarian Republic of)",-3,10709.9501953125,97.5,2.94767880439758
"Samoa",NA,NA,99.0957717895508,4.06115102767944
"Yemen",0,2284.88989257812,NA,2.19330644607544
"Zambia",6,3534.03369140625,87.5,5.11171817779541
